id,type,prompt,choices,reply,rating,time,model,precision
3,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",blueberries,0,313,smollm2-1.7b-instruct,8
4,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,486,smollm2-1.7b-instruct,8
5,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,285,smollm2-1.7b-instruct,8
6,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,431,smollm2-1.7b-instruct,8
7,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,326,smollm2-1.7b-instruct,8
8,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,243,smollm2-1.7b-instruct,8
9,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",bananas,0,508,smollm2-1.7b-instruct,8
10,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,424,smollm2-1.7b-instruct,8
11,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",blueberries,0,557,smollm2-1.7b-instruct,8
12,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,264,smollm2-1.7b-instruct,8
13,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",cherries,0,458,smollm2-1.7b-instruct,8
14,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,472,smollm2-1.7b-instruct,8
15,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,417,smollm2-1.7b-instruct,8
16,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,424,smollm2-1.7b-instruct,8
17,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,536,smollm2-1.7b-instruct,8
18,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,437,smollm2-1.7b-instruct,8
19,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,445,smollm2-1.7b-instruct,8
0,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,709,smollm2-1.7b-instruct,16
1,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",blueberries,0,439,smollm2-1.7b-instruct,16
2,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,271,smollm2-1.7b-instruct,16
3,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,139,smollm2-1.7b-instruct,16
4,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,435,smollm2-1.7b-instruct,16
5,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,202,smollm2-1.7b-instruct,16
6,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,237,smollm2-1.7b-instruct,16
7,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,340,smollm2-1.7b-instruct,16
8,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",cherries,0,257,smollm2-1.7b-instruct,16
9,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,347,smollm2-1.7b-instruct,16
10,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,442,smollm2-1.7b-instruct,16
11,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,145,smollm2-1.7b-instruct,16
12,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,237,smollm2-1.7b-instruct,16
13,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",cherries,0,521,smollm2-1.7b-instruct,16
14,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",bananas,0,410,smollm2-1.7b-instruct,16
15,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",blueberries,0,547,smollm2-1.7b-instruct,16
16,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,375,smollm2-1.7b-instruct,16
17,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,160,smollm2-1.7b-instruct,16
18,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,405,smollm2-1.7b-instruct,16
19,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,368,smollm2-1.7b-instruct,16
